"D" "Ds" "dist_type" "epsilon" "ppv"
"163" "500" "50" "left_skew" "1" "5.35714285714286"
"164" "500" "50" "left_skew" "1.2" "6.12648221343874"
"165" "500" "50" "left_skew" "1.4" "6.70611439842209"
"166" "500" "50" "left_skew" "1.6" "7.10059171597633"
"167" "500" "50" "left_skew" "1.8" "7.88954635108481"
"168" "500" "50" "left_skew" "2" "7.8740157480315"
"169" "500" "150" "norm" "-2" "22.1789883268482"
"170" "500" "150" "norm" "-1.8" "21.4007782101167"
"171" "500" "150" "norm" "-1.6" "21.7898832684825"
"172" "500" "150" "norm" "-1.4" "23.5408560311284"
"173" "500" "150" "norm" "-1.2" "26.0700389105058"
"174" "500" "150" "norm" "-1" "29.5719844357977"
"175" "500" "150" "norm" "-0.8" "33.2684824902724"
"176" "500" "150" "norm" "-0.6" "39.1050583657588"
"177" "500" "150" "norm" "-0.4" "47.4708171206226"
"178" "500" "150" "norm" "-0.2" "64.2023346303502"
"179" "500" "150" "norm" "0" "100"
"180" "500" "150" "norm" "0.2" "62.6459143968872"
"181" "500" "150" "norm" "0.4" "45.3307392996109"
"182" "500" "150" "norm" "0.6" "38.1322957198444"
"183" "500" "150" "norm" "0.8" "33.8491295938104"
"184" "500" "150" "norm" "1" "30.5447470817121"
"185" "500" "150" "norm" "1.2" "25.4863813229572"
"186" "500" "150" "norm" "1.4" "24.5136186770428"
"187" "500" "150" "norm" "1.6" "23.5408560311284"
"188" "500" "150" "norm" "1.8" "22.9571984435798"
"189" "500" "150" "norm" "2" "22.568093385214"
"190" "500" "150" "uniform" "-2" "39.7637795275591"
"191" "500" "150" "uniform" "-1.8" "40.3543307086614"
"192" "500" "150" "uniform" "-1.6" "39.1389432485323"
"193" "500" "150" "uniform" "-1.4" "38.7033398821218"
"194" "500" "150" "uniform" "-1.2" "37.992125984252"
"195" "500" "150" "uniform" "-1" "36.0236220472441"
"196" "500" "150" "uniform" "-0.8" "33.0708661417323"
"197" "500" "150" "uniform" "-0.6" "34.251968503937"
"198" "500" "150" "uniform" "-0.4" "42.5196850393701"
"199" "500" "150" "uniform" "-0.2" "52.755905511811"
"200" "500" "150" "uniform" "0" "100"
"201" "500" "150" "uniform" "0.2" "42.7165354330709"
"202" "500" "150" "uniform" "0.4" "29.7244094488189"
"203" "500" "150" "uniform" "0.6" "24.6062992125984"
"204" "500" "150" "uniform" "0.8" "22.8346456692913"
"205" "500" "150" "uniform" "1" "23.2283464566929"
"206" "500" "150" "uniform" "1.2" "25"
"207" "500" "150" "uniform" "1.4" "26.3261296660118"
"208" "500" "150" "uniform" "1.6" "26.1811023622047"
"209" "500" "150" "uniform" "1.8" "26.1811023622047"
"210" "500" "150" "uniform" "2" "26.7716535433071"
"211" "500" "150" "right_skew" "-2" "3.53634577603143"
"212" "500" "150" "right_skew" "-1.8" "3.53634577603143"
"213" "500" "150" "right_skew" "-1.6" "2.95275590551181"
"214" "500" "150" "right_skew" "-1.4" "2.75590551181102"
"215" "500" "150" "right_skew" "-1.2" "2.16535433070866"
"216" "500" "150" "right_skew" "-1" "1.77165354330709"
"217" "500" "150" "right_skew" "-0.8" "1.38067061143984"
"218" "500" "150" "right_skew" "-0.6" "1.38067061143984"
